account,out_degree,in_degree,total_degree,component_size
C1291847618,1,0,1,2
C678909421,0,1,1,2
C2115840189,1,0,1,2
M766296397,0,1,1,2
C264265832,1,0,1,2
M948002841,0,1,1,2
C27243120,1,0,1,2
M717013071,0,1,1,2
C1840368517,1,0,1,4
C1965847730,0,3,3,4
C2127290182,1,0,1,5
C1520555969,0,4,4,5
C1053203516,1,0,1,2
M699926009,0,1,1,2
C1711353344,1,0,1,2
M244767275,0,1,1,2
C1263064209,1,0,1,2
M538439346,0,1,1,2
C1983097959,1,0,1,3
C1930409721,0,2,2,3
C1279016779,1,0,1,2
M2025094125,0,1,1,2
C2112887318,1,0,1,3
C895445016,0,2,2,3
C1729381947,1,0,1,2
M651139778,0,1,1,2
C1660954768,1,0,1,2
M1465429761,0,1,1,2
C792477295,1,0,1,2
C731951816,0,1,1,2
C890998824,1,0,1,3
C1004513120,0,2,2,3
C1007415518,1,0,1,3
C686904438,0,2,2,3
C729461584,1,0,1,2
C575662398,0,1,1,2
C1642294930,1,0,1,2
C644948876,0,1,1,2
C1542922367,1,0,1,2
M493987112,0,1,1,2
C950802969,1,0,1,2
C1680148953,0,1,1,2
C136996167,1,0,1,4
C709802017,0,3,3,4
C714913429,1,0,1,3
C1393088405,0,2,2,3
C2105616632,1,0,1,2
C1294314636,0,1,1,2
C41587712,1,0,1,2
M711951585,0,1,1,2
C180488500,1,0,1,4
C831074981,0,3,3,4
C105072403,1,0,1,3
C358587851,0,2,2,3
C1360012913,1,0,1,2
M1760414180,0,1,1,2
C1036520392,1,0,1,3
C1944693763,0,2,2,3
C1894234774,1,0,1,2
C289479177,0,1,1,2
C1048331953,1,0,1,5
C2093777729,0,4,4,5
C1797493116,1,0,1,2
M310745710,0,1,1,2
C738555010,1,0,1,2
M1028522911,0,1,1,2
C792171575,1,0,1,2
M1032442072,0,1,1,2
C171525442,1,0,1,2
M1535177085,0,1,1,2
C1096380680,1,0,1,2
C1997113882,0,1,1,2
C358070670,1,0,1,2
M1005687041,0,1,1,2
C1192750895,1,0,1,3
C550567230,0,2,2,3
C1655164578,1,0,1,3
C1851618879,0,2,2,3
C1308872720,1,0,1,3
C450391449,0,2,2,3
C395584465,1,0,1,2
C64097525,0,1,1,2
C1821409160,1,0,1,6
C1323741703,0,5,5,6
C1654473311,1,0,1,3
C1856515353,0,2,2,3
C1531977735,1,0,1,2
C251591167,0,1,1,2
C482687046,1,0,1,3
C1843103642,0,2,2,3
C923811656,1,0,1,4
C309065968,0,3,3,4
C948497238,1,0,1,2
C2115634451,0,1,1,2
C1367284336,1,0,1,2
C1336811764,0,1,1,2
C276044135,1,0,1,2
C1806825688,0,1,1,2
C630326263,1,0,1,2
M859235458,0,1,1,2
C2147126359,1,0,1,2
M1683497898,0,1,1,2
C1830717509,1,0,1,3
C576425762,0,2,2,3
C1382192414,1,0,1,2
M1913523238,0,1,1,2
C1442207392,1,0,1,2
C759278052,0,1,1,2
C27760409,1,0,1,2
C1391986725,0,1,1,2
C1651237467,1,0,1,2
M1014667685,0,1,1,2
C983303136,1,0,1,2
C43874620,0,1,1,2
C1704926667,1,0,1,3
C1617186730,0,2,2,3
C5125882,1,0,1,4
C1798276972,0,3,3,4
C64703244,1,0,1,3
C2046067172,0,2,2,3
C462014500,1,0,1,2
C1916335772,0,1,1,2
C428823553,1,0,1,3
C1550704330,0,2,2,3
C537254855,1,0,1,2
M1113872265,0,1,1,2
C258564426,1,0,1,2
M422789806,0,1,1,2
C2042987948,1,0,1,2
C1433236989,0,1,1,2
C1058406915,1,0,1,2
M1685735358,0,1,1,2
C1205642418,1,0,1,2
C1595965288,0,1,1,2
C1283170944,1,0,1,2
M952035449,0,1,1,2
C2089891434,1,0,1,2
C2030815369,0,1,1,2
C48767001,1,0,1,3
C1708458655,0,2,2,3
C1218047828,1,0,1,2
M1133823278,0,1,1,2
C425393935,1,0,1,4
C1805683209,0,3,3,4
C1200707677,1,0,1,2
C2111438828,0,1,1,2
C488415823,1,0,1,2
M140434064,0,1,1,2
C1131781580,1,0,1,2
M1676193258,0,1,1,2
C1482459206,1,0,1,2
C244401300,0,1,1,2
C1687090817,1,0,1,2
M718159710,0,1,1,2
C1963796757,1,0,1,2
M1527411282,0,1,1,2
C220455249,1,0,1,2
M1106104274,0,1,1,2
C2068361010,1,0,1,2
C115347060,0,1,1,2
C824704554,1,0,1,2
C167175733,0,1,1,2
C1575108626,1,0,1,2
M94286603,0,1,1,2
C1560599756,1,0,1,4
C467089211,0,3,3,4
C1037963705,1,0,1,2
C904159690,0,1,1,2
C151502168,1,0,1,4
C1355706409,0,3,3,4
C1268379677,1,0,1,2
C1751777083,0,1,1,2
C180727854,1,0,1,2
M276985026,0,1,1,2
C1689958171,1,0,1,4
C1694505402,0,3,3,4
C173052623,1,0,1,3
C2023077528,0,2,2,3
C355346941,1,0,1,2
C820917061,0,1,1,2
C945029298,1,0,1,2
C933066669,0,1,1,2
C1048769357,1,0,1,2
M1849526991,0,1,1,2
C514426934,1,0,1,2
M1177632079,0,1,1,2
C1603168738,1,0,1,6
C1569736723,0,5,5,6
C606523389,1,0,1,2
M552931253,0,1,1,2
C1559836246,1,0,1,2
C1591568906,0,1,1,2
C1796650314,1,0,1,3
C423248942,0,2,2,3
C1697183637,1,0,1,2
M243577595,0,1,1,2
C748895238,1,0,1,2
C1888274124,0,1,1,2
C159497963,1,0,1,2
M1067867146,0,1,1,2
C673228823,1,0,1,3
C153980968,0,2,2,3
C725327109,1,0,1,2
M2072033007,0,1,1,2
C1158134312,1,0,1,2
M1436471011,0,1,1,2
C8532366,1,0,1,3
C912290293,0,2,2,3
C1887033296,1,0,1,2
M928050452,0,1,1,2
C794633160,1,0,1,2
C346197494,0,1,1,2
C868481335,1,0,1,2
M716740915,0,1,1,2
C1134853676,1,0,1,2
C1292288586,0,1,1,2
C152341781,1,0,1,2
C302470299,0,1,1,2
C1801118794,1,0,1,2
M1266509073,0,1,1,2
C1428411784,1,0,1,2
C1679264115,0,1,1,2
C1170058555,1,0,1,2
C2017584728,0,1,1,2
C980217286,1,0,1,2
C1096241484,0,1,1,2
C1499351231,1,0,1,2
C1917096968,0,1,1,2
C482895817,1,0,1,2
C1783041640,0,1,1,2
C6496251,1,0,1,3
C1189179252,0,2,2,3
C1791606570,1,0,1,2
C1580003717,0,1,1,2
C683099124,1,0,1,3
C248479470,0,2,2,3
C93484004,1,0,1,2
C1451456996,0,1,1,2
C1468272324,1,0,1,2
C593320282,0,1,1,2
C1962372193,1,0,1,2
C1138976639,0,1,1,2
C2124737484,1,0,1,2
M1937809253,0,1,1,2
C1530026844,1,0,1,2
M863474603,0,1,1,2
C1177818174,1,0,1,2
C141342397,0,1,1,2
C884796861,1,0,1,2
M1690394567,0,1,1,2
C727673296,1,0,1,2
M589661424,0,1,1,2
C1460661799,1,0,1,2
C844303187,0,1,1,2
C187267123,1,0,1,3
C1824602300,0,2,2,3
C646250679,1,0,1,3
C807931439,0,2,2,3
C1703320349,1,0,1,2
C743882634,0,1,1,2
C109090968,1,0,1,2
C400654029,0,1,1,2
C168198490,1,0,1,2
C1124954842,0,1,1,2
C1420965573,1,0,1,2
C1854841307,0,1,1,2
C776739325,1,0,1,2
C1042358213,0,1,1,2
C1478317293,1,0,1,2
C1336195433,0,1,1,2
C1131321836,1,0,1,2
M1772307407,0,1,1,2
C1988220199,1,0,1,2
M806673806,0,1,1,2
C2040299426,1,0,1,2
M801229895,0,1,1,2
C532967631,1,0,1,2
C1557221720,0,1,1,2
C711806970,1,0,1,2
C464936188,0,1,1,2
C1095112501,1,0,1,3
C1055102556,0,2,2,3
C1917553000,1,0,1,4
C1208018998,0,3,3,4
C2060551157,1,0,1,3
C2012026808,0,2,2,3
C1802920586,1,0,1,4
C1476610309,0,3,3,4
C48679493,1,0,1,3
C1808999386,0,2,2,3
C1926045395,1,0,1,2
C1129635883,0,1,1,2
C2100330771,1,0,1,2
M1848185601,0,1,1,2
C434497157,1,0,1,2
C24499971,0,1,1,2
C1706852057,1,0,1,2
M2114526179,0,1,1,2
C1268913839,1,0,1,2
M134711219,0,1,1,2
C958390765,1,0,1,3
C1336584430,0,2,2,3
C1129310007,1,0,1,2
M1467327178,0,1,1,2
C830500142,1,0,1,2
C898900309,0,1,1,2
C829577062,1,0,1,2
M375131566,0,1,1,2
C427901435,1,0,1,2
M2073368989,0,1,1,2
C1030680003,1,0,1,3
C435365761,0,2,2,3
C1152775611,1,0,1,3
C2110157840,0,2,2,3
C27418457,1,0,1,8
C1144070975,0,7,7,8
C1594040459,1,0,1,3
C1474332302,0,2,2,3
C590201870,1,0,1,6
C1753221242,0,5,5,6
C557993821,1,0,1,2
M1393515392,0,1,1,2
C497072993,1,0,1,3
C2053630851,0,2,2,3
C1672583834,1,0,1,2
C79282252,0,1,1,2
C1484961754,1,0,1,2
M641546296,0,1,1,2
C2063714614,1,0,1,3
C1056670314,0,2,2,3
C2012763338,1,0,1,5
C1752289820,0,4,4,5
C2006591627,1,0,1,2
C1419102945,0,1,1,2
C1178641481,1,0,1,2
C167768781,0,1,1,2
C1605531542,1,0,1,3
C875761527,0,2,2,3
C605472698,1,0,1,2
C1762253638,0,1,1,2
C31933511,1,0,1,2
C1204141754,0,1,1,2
C744147761,1,0,1,3
C40360640,0,2,2,3
C637015951,1,0,1,2
M1028898573,0,1,1,2
C65129899,1,0,1,3
C219076415,0,2,2,3
C1262668971,1,0,1,3
C615238056,0,2,2,3
C799978076,1,0,1,4
C1128735639,0,3,3,4
C155957415,1,0,1,2
C1104780579,0,1,1,2
C984523540,1,0,1,2
C1815545543,0,1,1,2
C1742235541,1,0,1,2
C1896221738,0,1,1,2
C1765144598,1,0,1,2
M1023735833,0,1,1,2
C1562103626,1,0,1,2
M614363123,0,1,1,2
C701488017,1,0,1,2
C2115233568,0,1,1,2
C662706285,1,0,1,2
M1834739651,0,1,1,2
C934027526,1,0,1,4
C1849602029,0,3,3,4
C1896561078,1,0,1,2
M831854039,0,1,1,2
C922371862,1,0,1,2
C2051193844,0,1,1,2
C2075770459,1,1,2,5
C859009954,0,2,2,5
C1308676481,1,0,1,2
M224684643,0,1,1,2
C431432211,1,0,1,2
C988710621,0,1,1,2
C1199002314,1,0,1,2
M1409545519,0,1,1,2
C968220575,1,0,1,2
M1248272626,0,1,1,2
C1915426633,1,0,1,2
C83954503,0,1,1,2
C1572032278,1,0,1,2
C1992278831,0,1,1,2
C822865010,1,0,1,2
M125131831,0,1,1,2
C28504171,1,0,1,3
C2010431707,0,2,2,3
C1685388443,1,0,1,2
C275108098,0,1,1,2
C455049227,1,0,1,2
C1352148970,0,1,1,2
C1034173103,1,0,1,2
M1840715486,0,1,1,2
C2009251127,1,0,1,2
M911681856,0,1,1,2
C21544738,1,0,1,2
C2068223545,0,1,1,2
C2080660503,1,0,1,2
C2126944678,0,1,1,2
C1548788425,1,0,1,5
C1596062467,0,4,4,5
C649046785,2,0,2,4
C1998499292,0,2,2,4
C1805538854,1,0,1,3
C583331228,0,2,2,3
C841478345,1,0,1,4
C855615468,0,3,3,4
C1516993897,1,0,1,2
C1542582371,0,1,1,2
C930332477,1,0,1,3
C18849508,0,2,2,3
C1746698240,1,0,1,2
M1142899698,0,1,1,2
C1566813757,1,0,1,3
C1233229818,0,2,2,3
C1165878521,1,0,1,3
C1768464356,0,2,2,3
C437875601,1,0,1,2
M57656214,0,1,1,2
C556588380,1,0,1,2
C1889914876,0,1,1,2
C700458019,1,0,1,2
C614974657,0,1,1,2
C94148084,1,0,1,2
M473382272,0,1,1,2
C738877956,1,0,1,4
C1365463591,0,3,3,4
C1420957751,1,0,1,2
C2015873709,0,1,1,2
C1593018901,1,0,1,2
M1132947378,0,1,1,2
C680966309,1,0,1,2
C1635530763,0,1,1,2
C696266580,1,0,1,2
M743821749,0,1,1,2
C527331811,1,0,1,2
M177036329,0,1,1,2
C1847319119,1,0,1,3
C543669175,0,2,2,3
C611196015,1,0,1,4
C510971321,0,3,3,4
C1840901933,1,0,1,3
C1064290559,0,2,2,3
C567619720,1,0,1,3
C268435937,0,2,2,3
C773045671,1,0,1,6
C1966550578,0,5,5,6
C531780947,1,0,1,2
C1207684452,0,1,1,2
C1664693691,1,0,1,2
C2100987310,0,1,1,2
C972995743,1,0,1,2
C569338068,0,1,1,2
C2013631271,1,0,1,2
M1394414678,0,1,1,2
C549973633,1,0,1,2
C295089620,0,1,1,2
C1000674484,1,0,1,3
C1686767631,0,2,2,3
C201129268,1,0,1,2
M1395623690,0,1,1,2
C822474904,1,0,1,2
M1224695750,0,1,1,2
C1861908874,1,0,1,2
M1872633409,0,1,1,2
C993704638,1,0,1,3
C1432374808,0,2,2,3
C1744678179,1,0,1,2
M148420078,0,1,1,2
C778558982,1,0,1,2
C823705021,0,1,1,2
